question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Изучается ли тема о векторном представлении узлов графа?,clarify,multi.global.semantic,False,,,True,0,False,,,5.095,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену?,clarify,clarify,True,,,True,0,False,,,8.927,0,0,,,,,,,,
Какие основные темы для изучения по курсу?,clarify,clarify,True,,,True,0,False,,,8.988,0,0,,,,,,,,
Как работает градиентный спуск в машинном обучении?,irrelevant,irrelevant,True,,,True,0,False,,,4.331,0,0,,,,,,,,
Что такое нейронная сеть и как она обучается?,irrelevant,irrelevant,True,,,True,0,False,,,3.546,0,0,,,,,,,,
Для чего используется библиотека NumPy?,irrelevant,irrelevant,True,,,True,0,False,,,1.702,0,0,,,,,,,,
Что такое DataFrame в Pandas?,irrelevant,irrelevant,True,,,True,0,False,,,8.348,0,0,,,,,,,,
Сколько часов лекций по дисциплине анализ данных?,clarify,clarify,True,,,True,0,False,,,5.401,0,0,,,,,,,,
Сколько тем в курсе искусственный интеллект?,clarify,clarify,True,,,True,0,False,,,1.072,0,0,,,,,,,,
"Какие общие темы есть у курсов анализ данных, введение в машинное обучение и искусственный интеллект?",clarify,clarify,True,,Глубокое обучение; Алгоритмы и структуры данных в языке Python; Технологии обработки больших данных; Технологии обработки данных; Прикладные задачи машинного обучения; Машинное зрение; Машинное обучение в семантическом и сетевом анализе,False,0,False,,,9.325,0,0,,,,,,,,
Сколько часов лабораторных занятий предусмотрено по дисциплине глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,4.019,0,0,,,,,,,,
Сколько лекционных часов отведено на курс машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,6.631,0,0,,,,,,,,
Какая форма контроля предусмотрена по дисциплине семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,11.999,0,0,,,,,,,,
Сколько тем включает дисциплина глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,11.043,0,0,,,,,,,,
Какова общая трудоемкость курса машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,3.989,0,0,,,,,,,,
Сколько часов самостоятельной работы предусмотрено по дисциплине прикладная теория графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,2.98,0,0,,,,,,,,
Сколько семинаров проводится в курсе технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,2.807,0,0,,,,,,,,
Какая промежуточная аттестация предусмотрена по курсу рекомендательные системы и коллаборативная фильтрация?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,3.37,0,0,,,,,,,,
Сколько часов практических занятий включает дисциплина обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,12.121,0,0,,,,,,,,
Сколько разделов изучается в курсе фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,11.254,0,0,,,,,,,,
Какие навыки формируются после изучения дисциплины машинное зрение?,single.global,single.simple,False,Машинное зрение,Машинное зрение,True,1,False,,,3.804,0,0,,,,,,,,
Что входит в содержание курса рекомендательные системы и коллаборативная фильтрация?,single.global,single.global,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,3.03,0,0,,,,,,,,
Какие темы рассматриваются в дисциплине прикладная теория графов?,single.global,single.global,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,2.745,0,0,,,,,,,,
Какие технологии изучаются в курсе технологии обработки больших данных?,single.global,single.global,True,Технологии обработки больших данных,Технологии обработки больших данных,True,1,False,,,2.933,0,0,,,,,,,,
Какие вопросы вынесены на экзамен по дисциплине глубокое обучение?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,3.0,0,0,,,,,,,,
Какие темы необходимо изучить самостоятельно по курсу машинное зрение?,single.global,single.global,True,Машинное зрение,Машинное зрение,True,1,False,,,2.767,0,0,,,,,,,,
Какие дополнительные источники рекомендуются для дисциплины обработка текстов на естественных языках?,single.global,single.global,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,10.241,0,0,,,,,,,,
Что изучается в рамках курса технологии и алгоритмы анализа сетевых моделей?,single.global,single.global,True,Технологии и алгоритмы анализа сетевых моделей,Технологии и алгоритмы анализа сетевых моделей,True,1,False,,,9.441,0,0,,,,,,,,
Какие результаты обучения достигаются после освоения курса фундаментальные и генеративные модели?,single.global,single.global,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,4.871,0,0,,,,,,,,
Какие основные понятия изучаются в дисциплине семантические технологии?,single.global,single.global,True,Семантические технологии,Семантические технологии,True,1,False,,,4.649,0,0,,,,,,,,
Чем отличаются подходы к анализу изображений в дисциплинах машинное зрение и глубокое обучение?,multi.relation,multi.relation,True,Машинное зрение; Глубокое обучение,Машинное зрение; Глубокое обучение,True,2,False,,,5.727,0,0,,,,,,,,
Какие общие темы есть у дисциплин обработка текстов на естественных языках и глубокое обучение?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Глубокое обучение,Обработка текстов на естественных языках; Глубокое обучение,True,2,False,,,4.062,0,0,,,,,,,,
Как связаны методы анализа графов в курсах прикладная теория графов и технологии и алгоритмы анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,11.969,0,0,,,,,,,,
В чем различие рекомендательных алгоритмов в курсах рекомендательные системы и коллаборативная фильтрация и машинное обучение в семантическом и сетевом анализе?,multi.relation,multi.compare,False,Рекомендательные системы и коллаборативная фильтрация; Машинное обучение в семантическом и сетевом анализе,Рекомендательные системы и коллаборативная фильтрация; Машинное обучение в семантическом и сетевом анализе,True,2,False,,,6.622,0,0,,,,,,,,
Как различаются способы представления данных в дисциплинах технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.compare,False,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,7.092,0,0,,,,,,,,
Какие пересечения есть между курсами фундаментальные и генеративные модели и глубокое обучение?,multi.relation,multi.relation,True,Фундаментальные и генеративные модели; Глубокое обучение,Фундаментальные и генеративные модели; Глубокое обучение,True,2,False,,,15.151,0,0,,,,,,,,
Как отличаются задачи классификации текста в дисциплинах обработка текстов на естественных языках и семантические технологии?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,5.045,0,0,,,,,,,,
Какие общие методы используются в курсах глубокое обучение и машинное зрение?,multi.relation,multi.relation,True,Глубокое обучение; Машинное зрение,Глубокое обучение; Машинное зрение,True,2,False,,,5.171,0,0,,,,,,,,
Как соотносятся задачи обработки графов в дисциплинах прикладные задачи машинного обучения и технологии и алгоритмы анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладные задачи машинного обучения; Технологии и алгоритмы анализа сетевых моделей,Прикладные задачи машинного обучения; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,5.43,0,0,,,,,,,,
В чем различие подходов к генерации данных в дисциплинах фундаментальные и генеративные модели и машинное зрение?,multi.relation,multi.relation,True,Фундаментальные и генеративные модели; Машинное зрение,Фундаментальные и генеративные модели; Машинное зрение,True,2,False,,,5.356,0,0,,,,,,,,
Какие дисциплины связаны с обработкой изображений?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,6.295,0,0,,,,,,,,
В каких курсах изучаются графовые алгоритмы?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.79,0,0,,,,,,,,
Какие дисциплины включают изучение нейронных сетей?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.991,0,0,,,,,,,,
Какие предметы связаны с анализом текстовых данных?,multi.global.semantic,single.global,False,,Обработка текстов на естественных языках,False,0,False,,,3.149,0,0,,,,,,,,
В каких дисциплинах рассматриваются генеративные архитектуры?,multi.global.semantic,single.global,False,,Фундаментальные и генеративные модели,False,0,False,,,3.195,0,0,,,,,,,,
Какие курсы используют методы машинного обучения?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,3.425,0,0,,,,,,,,
В каких дисциплинах изучаются технологии больших данных?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,5.216,0,0,,,,,,,,
Какие курсы содержат темы по анализу графов?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,3.894,0,0,,,,,,,,
В каких дисциплинах рассматриваются рекомендательные алгоритмы?,multi.global.semantic,single.global,False,,Технологии и алгоритмы анализа сетевых моделей,False,0,False,,,8.286,0,0,,,,,,,,
Какие предметы включают методы обработки естественного языка?,multi.global.semantic,single.global,False,,Обработка текстов на естественных языках,False,0,False,,,6.19,0,0,,,,,,,,
Чем в целом отличается курс глубокое обучение от курса машинное зрение?,multi.compare,multi.compare,True,Глубокое обучение; Машинное зрение,Глубокое обучение; Машинное зрение,True,2,False,,,7.446,0,0,,,,,,,,
Какой курс шире по тематике: технологии обработки данных или технологии обработки больших данных?,multi.compare,clarify,False,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,3.303,0,0,,,,,,,,
Какая дисциплина более ориентирована на графовые структуры: прикладная теория графов или технологии и алгоритмы анализа сетевых моделей?,multi.compare,multi.compare,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,12.725,0,0,,,,,,,,
Чем отличаются дисциплины обработка текстов на естественных языках и семантические технологии в целом?,multi.compare,multi.compare,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,3.644,0,0,,,,,,,,
Как соотносятся дисциплины фундаментальные и генеративные модели и глубокое обучение?,multi.compare,multi.compare,True,Фундаментальные и генеративные модели; Глубокое обучение,Фундаментальные и генеративные модели; Глубокое обучение,True,2,False,,,10.732,0,0,,,,,,,,
Какая дисциплина более прикладная: машинное обучение в семантическом и сетевом анализе или прикладные задачи машинного обучения?,multi.compare,single.simple,False,Машинное обучение в семантическом и сетевом анализе; Прикладные задачи машинного обучения,Прикладные задачи машинного обучения,False,1,False,,,5.234,0,0,,,,,,,,
В чем ключевое различие между курсами рекомендательные системы и коллаборативная фильтрация и технологии обработки данных?,multi.compare,multi.compare,True,Рекомендательные системы и коллаборативная фильтрация; Технологии обработки данных,Рекомендательные системы и коллаборативная фильтрация; Технологии обработки данных,True,2,False,,,8.14,0,0,,,,,,,,
Какая дисциплина больше связана с анализом текста: семантические технологии или обработка текстов на естественных языках?,multi.compare,single.simple,False,Семантические технологии; Обработка текстов на естественных языках,Обработка текстов на естественных языках,False,1,False,,,4.062,0,0,,,,,,,,
Как отличаются цели дисциплин машинное зрение и обработка текстов на естественных языках?,multi.compare,multi.compare,True,Машинное зрение; Обработка текстов на естественных языках,Машинное зрение; Обработка текстов на естественных языках,True,2,False,,,5.103,0,0,,,,,,,,
Чем отличаются дисциплины технологии обработки данных и семантические технологии?,multi.compare,multi.compare,True,Технологии обработки данных; Семантические технологии,Технологии обработки данных; Семантические технологии,True,2,False,,,15.438,0,0,,,,,,,,
Сколько часов лекций по дисциплине анализ информации?,clarify,clarify,True,,,True,0,False,,,1.569,0,0,,,,,,,,
Есть ли курс по интеллектуальному анализу данных?,clarify,clarify,True,,,True,0,False,,,1.513,0,0,,,,,,,,
Какая форма аттестации у предмета искусственный интеллект?,clarify,clarify,True,,,True,0,False,,,2.766,0,0,,,,,,,,
Сколько тем содержит дисциплина анализ социальных сетей?,clarify,clarify,True,,,True,0,False,,,1.183,0,0,,,,,,,,
Какие технологии изучаются в курсе data science?,clarify,clarify,True,,,True,0,False,,,0.988,0,0,,,,,,,,
Какие дисциплины похожи на курс искусственный интеллект?,clarify,clarify,True,,,True,0,False,,,0.992,0,0,,,,,,,,
Какие темы рассматриваются в дисциплине компьютерное зрение?,clarify,single.global,False,,Машинное зрение,False,0,False,,,3.624,0,0,,,,,,,,
Сколько часов практики по предмету анализ графов?,clarify,clarify,True,,Прикладная теория графов,False,0,False,,,1.935,0,0,,,,,,,,
Какие вопросы входят в экзамен по введению в машинное обучение?,clarify,clarify,True,,,True,0,False,,,3.348,0,0,,,,,,,,
Есть ли дисциплина по анализу естественного языка?,clarify,single.simple,False,,Обработка текстов на естественных языках,False,0,False,,,3.414,0,0,,,,,,,,
Есть ли тема про квантовые вычисления?,clarify,multi.global.semantic,False,,,True,0,False,,,3.136,0,0,,,,,,,,
Какие дисциплины изучают блокчейн-технологии?,clarify,multi.global.semantic,False,,,True,0,False,,,14.871,0,0,,,,,,,,
В каком курсе рассматриваются методы биоинформатики?,clarify,clarify,True,,,True,0,False,,,1.14,0,0,,,,,,,,
Есть ли темы по разработке мобильных приложений?,clarify,multi.global.semantic,False,,,True,0,False,,,8.497,0,0,,,,,,,,
Какая дисциплина посвящена веб-разработке?,clarify,clarify,True,,,True,0,False,,,16.671,0,0,,,,,,,,
Изучаются ли в курсах микроконтроллеры и встраиваемые системы?,clarify,clarify,True,,,True,0,False,,,1.046,0,0,,,,,,,,
В каком предмете рассматривается разработка игр?,clarify,clarify,True,,,True,0,False,,,0.792,0,0,,,,,,,,
Есть ли курс по компьютерной безопасности?,clarify,clarify,True,,,True,0,False,,,0.873,0,0,,,,,,,,
Какие дисциплины связаны с робототехникой?,clarify,multi.global.semantic,False,,,True,0,False,,,2.252,0,0,,,,,,,,
Изучаются ли технологии виртуальной реальности?,clarify,irrelevant,False,,,True,0,False,,,1.567,0,0,,,,,,,,
Как приготовить пасту карбонара?,irrelevant,irrelevant,True,,,True,0,False,,,1.559,0,0,,,,,,,,
Кто выиграл чемпионат мира по футболу в 2018 году?,irrelevant,irrelevant,True,,,True,0,False,,,1.452,0,0,,,,,,,,
Какая сегодня погода в Москве?,irrelevant,irrelevant,True,,,True,0,False,,,1.491,0,0,,,,,,,,
Как настроить Wi‑Fi роутер дома?,irrelevant,irrelevant,True,,,True,0,False,,,1.485,0,0,,,,,,,,
Сколько калорий в яблоке?,irrelevant,irrelevant,True,,,True,0,False,,,1.482,0,0,,,,,,,,
Как выучить английский язык быстрее?,irrelevant,irrelevant,True,,,True,0,False,,,1.476,0,0,,,,,,,,
Что посмотреть вечером из фильмов?,irrelevant,irrelevant,True,,,True,0,False,,,1.547,0,0,,,,,,,,
Как работает двигатель внутреннего сгорания?,irrelevant,irrelevant,True,,,True,0,False,,,1.709,0,0,,,,,,,,
Какая столица Австралии?,irrelevant,irrelevant,True,,,True,0,False,,,1.555,0,0,,,,,,,,
Кто написал роман Война и мир?,irrelevant,irrelevant,True,,,True,0,False,,,1.49,0,0,,,,,,,,
Какие дисциплины используют графовые нейронные сети?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,3.494,0,0,,,,,,,,
В каких курсах рассматривается кластеризация данных?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.311,0,0,,,,,,,,
Какие дисциплины связаны с анализом социальных сетей?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.243,0,0,,,,,,,,
В каких курсах изучаются методы классификации?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.155,0,0,,,,,,,,
Какие предметы содержат темы по embeddings и векторным представлениям?,multi.global.semantic,clarify,False,,,True,0,False,,,0.8,0,0,,,,,,,,
Выведи все дисциплины,multi.global.catalog,multi.global.catalog,True,,,True,0,False,,,2.235,0,0,,,,,,,,
По какой дисциплине больше всего часов обучения?,multi.global.catalog,multi.global.catalog,True,,,True,0,False,,,2.404,0,0,,,,,,,,
Какие предметы самые продолжительные?,multi.global.catalog,multi.global.catalog,True,,,True,0,False,,,2.2,0,0,,,,,,,,
Какие предметы изучаются в каких семестрах и на каких курсах?,multi.global.catalog,multi.global.catalog,True,,,True,0,False,,,2.27,0,0,,,,,,,,
По каким дисциплинам предусмотрен зачёт?,multi.global.catalog,multi.global.catalog,True,,,True,0,False,,,2.513,0,0,,,,,,,,
По каким дисциплинам предусмотрен экзамен?,multi.global.catalog,multi.global.catalog,True,,,True,0,False,,,2.173,0,0,,,,,,,,
Есть ли тема по transformers в дисциплине глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,2.601,0,0,,,,,,,,
Изучаются ли GAN-модели в курсе фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,2.64,0,0,,,,,,,,
Есть ли раздел по графовым базам данных в семантических технологиях?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,2.413,0,0,,,,,,,,
Предусмотрено ли изучение CNN в дисциплине машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,2.352,0,0,,,,,,,,
Есть ли в курсе обработки текстов на естественных языках тема токенизации?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,2.811,0,0,,,,,,,,
"Какие темы объединяют дисциплины глубокое обучение, машинное зрение и фундаментальные и генеративные модели?",multi.relation,multi.relation,True,Глубокое обучение; Машинное зрение; Фундаментальные и генеративные модели,Глубокое обучение; Машинное зрение; Фундаментальные и генеративные модели,True,3,False,,,3.052,0,0,,,,,,,,
"Как пересекаются методы анализа графов в дисциплинах прикладная теория графов, технологии и алгоритмы анализа сетевых моделей и машинное обучение в семантическом и сетевом анализе?",multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей; Машинное обучение в семантическом и сетевом анализе,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей; Машинное обучение в семантическом и сетевом анализе,True,3,False,,,3.734,0,0,,,,,,,,
"Какие общие методы обработки текста используются в курсах обработка текстов на естественных языках, семантические технологии и глубокое обучение?",multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии; Глубокое обучение,Обработка текстов на естественных языках; Семантические технологии; Глубокое обучение,True,3,False,,,2.843,0,0,,,,,,,,
